Partita,GG,NG
Roma-Verona,0.5213270142180095,0.4786729857819905
Udinese-Milan,0.6445497630331753,0.35545023696682465
Frosinone-Cagliari,0.5450236966824644,0.4549763033175355
Empoli-Monza,0.6208530805687204,0.3791469194312796
Salernitana-Genoa,0.5971563981042654,0.4028436018957346
Lecce-Juventus,0.6303317535545023,0.3696682464454976
Bologna-Fiorentina,0.6161137440758294,0.38388625592417064
Torino-Lazio,0.5924170616113744,0.4075829383886256
Sassuolo-Napoli,0.6018957345971564,0.3981042654028436
Inter-Atalanta,0.5497630331753555,0.45023696682464454
