Partita,GG,NG
Genoa-Lazio,0.6161137440758294,0.38388625592417064
Cagliari-Juventus,0.6303317535545023,0.3696682464454976
Empoli-Napoli,0.5924170616113744,0.4075829383886256
Verona-Udinese,0.5402843601895735,0.4597156398104265
Sassuolo-Lecce,0.5308056872037915,0.46919431279620855
Torino-Frosinone,0.5545023696682464,0.44549763033175355
Salernitana-Fiorentina,0.6018957345971564,0.3981042654028436
Monza-Atalanta,0.6066350710900474,0.3933649289099526
Roma-Bologna,0.5355450236966824,0.46445497630331756
Milan-Inter,0.5497630331753555,0.45023696682464454
