,media_gol_fatti,varianza_gol_fatti,media_gol_subiti,varianza_gol_subiti
Milan,2.2666666666666666,0.4577377082170635,1.0666666666666667,0.9611501047232549
Sampdoria,1.5333333333333334,1.0600988273786194,1.6666666666666667,0.8997354108424374
Genoa,1.0,1.0690449676496976,1.8666666666666667,1.4074631010979934
Parma,0.8666666666666667,0.9154754164341269,1.8666666666666667,1.4074631010979934
Fiorentina,1.0666666666666667,1.1629191512658792,1.4,1.1832159566199232
Lazio,1.5333333333333334,0.915475416434127,1.6,1.2983506020002014
Crotone,1.0,1.1338934190276817,2.3333333333333335,1.7593288763724921
Spezia,1.2666666666666666,0.883715101688537,2.0,1.3627702877384937
Verona,1.2666666666666666,0.961150104723255,0.9333333333333333,0.7988086367179801
Juventus,2.066666666666667,1.2798809468443688,1.0,0.7559289460184544
Udinese,1.0666666666666667,1.1629191512658792,1.4666666666666666,1.1254628677422756
Atalanta,2.2666666666666666,1.7511900715418263,1.4666666666666666,1.0600988273786194
Inter,2.6666666666666665,1.543033499620919,1.2666666666666666,0.883715101688537
Torino,1.6666666666666667,0.9759000729485332,2.1333333333333333,1.4074631010979934
Cagliari,1.4666666666666666,1.1254628677422753,2.066666666666667,1.3870146083619754
Bologna,1.4,1.2421180068162376,1.8,1.3732131246511905
Roma,2.1333333333333333,1.6417180315870614,1.5333333333333334,1.4573295865416047
Benevento,1.1333333333333333,0.9154754164341269,1.6666666666666667,1.7182493859684491
Napoli,2.1333333333333333,1.8464895909600492,1.0,0.9258200997725514
Sassuolo,1.8,1.4735767952260148,1.4666666666666666,1.505545305418162
