Partita,GG,NG
Empoli-Udinese,0.15090129176210576,0.8490987082378942
Lecce-Sassuolo,0.41768509825157574,0.5823149017484243
Inter-Bologna,0.08606695981116841,0.9139330401888316
Juventus-Torino,0.1125007562810183,0.8874992437189817
Genoa-Milan,0.6135394368809235,0.3864605631190765
Monza-Salernitana,0.3455579357935582,0.6544420642064418
Frosinone-Verona,0.3104614577208663,0.6895385422791337
Lazio-Atalanta,0.46001248598959843,0.5399875140104016
Cagliari-Roma,0.2363784656434721,0.7636215343565279
Napoli-Fiorentina,0.7101300511618375,0.28986994883816253
