Partita,O,U
Lecce-Napoli,0.546502669171669,0.45349733082833094
Milan-Lazio,0.36930305936754326,0.6306969406324567
Salernitana-Inter,0.46518295517972075,0.5348170448202793
Bologna-Empoli,0.40762466002338893,0.5923753399766111
Udinese-Genoa,0.6259033094084894,0.37409669059151057
Atalanta-Juventus,0.3260276948274661,0.6739723051725339
Roma-Frosinone,0.817962411142082,0.18203758885791801
Sassuolo-Monza,0.5541062580552913,0.44589374194470865
Torino-Verona,0.1363395871153028,0.8636604128846972
Fiorentina-Cagliari,0.7002759069716441,0.2997240930283559
