Partita,0,1,2,3,4
Lecce-Napoli,0.1706789356240575,0.2588218760749597,0.3665549422292758,0.11804769686917073,0.08589654920253655
Milan-Lazio,0.5857181383556729,0.21249934556415592,0.1406024465844206,0.04610925681474184,0.01507081268100895
Salernitana-Inter,0.04617554578344658,0.13336295784240343,0.2943325576076835,0.32838791052646193,0.19774102824000467
Bologna-Empoli,0.4727674772456681,0.46017197163173107,0.05638463261994178,0.008732317608666107,0.0019436008939930556
Udinese-Genoa,0.41544411150168176,0.14020245354432334,0.22170832826653508,0.07518011914597583,0.1474649875414839
Atalanta-Juventus,0.3315281538884135,0.44956114934884484,0.14358954036951802,0.06718743216860391,0.008133724224619793
Roma-Frosinone,0.570133872096233,0.14100046270100167,0.20004653695378602,0.03821745363185939,0.05060167461711979
Sassuolo-Monza,0.2900931906319621,0.5241944865822492,0.10820375315409307,0.06642969022946502,0.011078879402230637
Torino-Verona,0.5891677142985096,0.2988879457696846,0.06758802273509476,0.034941087669760264,0.009415229526950624
Fiorentina-Cagliari,0.7937297680252436,0.11891624513251446,0.0735911206143043,0.010818134667530632,0.0029447315604068185
