Partita,0,1,2,3,4
Lecce-Napoli,0.5956385847821872,0.32220414829416555,0.06842279938553052,0.009880910376637572,0.003853557161479064
Milan-Lazio,0.10671499125053893,0.47134105048892605,0.3772355263876444,0.027925836077903075,0.016782595794987486
Salernitana-Inter,0.8878181333973741,0.09017521330828623,0.01715172807459482,0.0029224813888946485,0.0019324438308501491
Bologna-Empoli,0.20835833464405165,0.25953633108975505,0.14785708636237785,0.21385226630078322,0.17039598160303224
Udinese-Genoa,0.36870385223187413,0.45149862636193694,0.11732396577791691,0.05690941996692867,0.005564135661343637
Atalanta-Juventus,0.274618663389707,0.3982449538147483,0.19017309231849794,0.11334943846469196,0.023613852012354972
Roma-Frosinone,0.09599080884833226,0.11556040281832908,0.5452877628919963,0.16022025812759919,0.08294076731374306
Sassuolo-Monza,0.7156196762249786,0.13031854323540573,0.04467832720275437,0.03541944155360852,0.07396401178325292
Torino-Verona,0.7450325833375152,0.1373127466126865,0.07389147551614694,0.024586252133239457,0.01917694240041187
Fiorentina-Cagliari,0.052534422120733844,0.14123515299951653,0.18558202777046326,0.2410046349548851,0.3796437621544011
