Partita,V,N,P
Lecce-Napoli,0.001999748582136841,0.04112019087876941,0.9568800605390938
Milan-Lazio,0.8125474534165291,0.1742727817440853,0.013179764839385507
Salernitana-Inter,1.326860610932461e-05,0.0041439454818220185,0.9958427859120688
Bologna-Empoli,0.9720988808848161,0.02728749964356056,0.0006136194716234019
Udinese-Genoa,0.2836369047021789,0.43858496088195603,0.2777781344158649
Atalanta-Juventus,0.3992365795280169,0.23331172752314852,0.3674516929488346
Roma-Frosinone,0.9691295928524264,0.028649456554091565,0.0022209505934820788
Sassuolo-Monza,0.03088961409384276,0.16066638555509846,0.8084440003510588
Torino-Verona,0.26990955512801096,0.3877567618756178,0.34233368299637124
Fiorentina-Cagliari,0.9013581139196708,0.08879480429467763,0.009847081785651614
