Partita,GG,NG
Lecce-Napoli,0.4065065759358376,0.5934934240641624
Milan-Lazio,0.34759933080877636,0.6524006691912236
Salernitana-Inter,0.05706488736863502,0.942935112631365
Bologna-Empoli,0.3947351792127176,0.6052648207872824
Udinese-Genoa,0.43895490406073423,0.5610450959392658
Atalanta-Juventus,0.3159990456413436,0.6840009543586564
Roma-Frosinone,0.6434599370823639,0.35654006291763607
Sassuolo-Monza,0.5866442019734259,0.413355798026574
Torino-Verona,0.07622620610514941,0.9237737938948506
Fiorentina-Cagliari,0.226625747687917,0.773374252312083
