,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,24.0,39.0,15.0,3.0,1,45.0,1.0,14.0
Juventus,18.0,35.0,17.0,3.0,2,45.0,1.0,14.0
Lazio,23.0,40.0,17.0,4.0,3,40.0,2.0,12.0
Roma,14.0,33.0,19.0,5.0,4,35.0,3.0,10.0
Atalanta,23.0,48.0,25.0,4.0,5,34.0,4.0,10.0
Cagliari,6.0,33.0,27.0,5.0,6,29.0,5.0,8.0
Parma,-1.0,24.0,25.0,4.0,7,25.0,7.0,7.0
Torino,-2.0,24.0,26.0,3.0,8,24.0,8.0,7.0
Verona,-1.0,19.0,20.0,5.0,9,23.0,7.0,6.0
Bologna,-2.0,28.0,30.0,5.0,10,23.0,7.0,6.0
Napoli,2.0,26.0,24.0,7.0,11,22.0,6.0,5.0
Milan,-8.0,16.0,24.0,4.0,12,22.0,8.0,6.0
Udinese,-14.0,14.0,28.0,3.0,13,21.0,9.0,6.0
Sassuolo,0.0,29.0,29.0,5.0,14,20.0,8.0,5.0
Fiorentina,-7.0,22.0,29.0,6.0,15,18.0,8.0,4.0
Sampdoria,-13.0,14.0,27.0,4.0,16,16.0,10.0,4.0
Lecce,-14.0,22.0,36.0,6.0,17,15.0,9.0,3.0
Brescia,-15.0,16.0,31.0,2.0,18,14.0,12.0,4.0
Genoa,-17.0,19.0,36.0,5.0,19,14.0,10.0,3.0
Spal,-16.0,12.0,28.0,3.0,20,12.0,12.0,3.0
