,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,6.0,7.0,1.0,0.0,1,9.0,0.0,3.0
Bologna,2.0,6.0,4.0,1.0,2,7.0,0.0,2.0
Juventus,2.0,5.0,3.0,1.0,3,7.0,0.0,2.0
Napoli,2.0,9.0,7.0,0.0,4,6.0,1.0,2.0
Atalanta,1.0,7.0,6.0,0.0,5,6.0,1.0,2.0
Torino,1.0,6.0,5.0,0.0,6,6.0,1.0,2.0
Milan,1.0,2.0,1.0,0.0,7,6.0,1.0,2.0
Roma,2.0,8.0,6.0,2.0,8,5.0,0.0,1.0
Lazio,2.0,5.0,3.0,1.0,9,4.0,1.0,1.0
Genoa,0.0,6.0,6.0,1.0,10,4.0,1.0,1.0
Verona,0.0,2.0,2.0,1.0,11,4.0,1.0,1.0
Sassuolo,0.0,7.0,7.0,0.0,12,3.0,2.0,1.0
Cagliari,0.0,4.0,4.0,0.0,13,3.0,2.0,1.0
Brescia,-1.0,4.0,5.0,0.0,14,3.0,2.0,1.0
Parma,-1.0,4.0,5.0,0.0,15,3.0,2.0,1.0
Spal,-1.0,4.0,5.0,0.0,16,3.0,2.0,1.0
Udinese,-2.0,2.0,4.0,0.0,17,3.0,2.0,1.0
Lecce,-4.0,2.0,6.0,0.0,18,3.0,2.0,1.0
Fiorentina,-2.0,4.0,6.0,1.0,19,1.0,2.0,0.0
Sampdoria,-8.0,1.0,9.0,0.0,20,0.0,3.0,0.0
