squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Juventus,37.0,63.0,26.0,3.0,1,75.0,3.0,24.0
Lazio,35.0,66.0,31.0,5.0,2,68.0,4.0,21.0
Inter,32.0,63.0,31.0,7.0,3,64.0,4.0,19.0
Atalanta,44.0,83.0,39.0,6.0,4,63.0,5.0,19.0
Roma,12.0,54.0,42.0,6.0,5,48.0,10.0,14.0
Napoli,8.0,48.0,40.0,6.0,6,48.0,10.0,14.0
Milan,2.0,39.0,37.0,7.0,7,46.0,10.0,13.0
Verona,1.0,37.0,36.0,9.0,8,42.0,10.0,11.0
Bologna,-4.0,43.0,47.0,8.0,9,41.0,11.0,11.0
Sassuolo,3.0,55.0,52.0,7.0,10,40.0,12.0,11.0
Cagliari,2.0,48.0,46.0,9.0,11,39.0,11.0,10.0
Parma,1.0,41.0,40.0,6.0,12,39.0,13.0,11.0
Fiorentina,-6.0,37.0,43.0,10.0,13,34.0,12.0,8.0
Sampdoria,-15.0,36.0,51.0,5.0,14,32.0,16.0,9.0
Udinese,-16.0,27.0,43.0,8.0,15,32.0,14.0,8.0
Torino,-22.0,34.0,56.0,4.0,16,31.0,17.0,9.0
Genoa,-21.0,37.0,58.0,9.0,17,27.0,15.0,6.0
Lecce,-32.0,38.0,70.0,7.0,18,25.0,17.0,6.0
Brescia,-31.0,27.0,58.0,6.0,19,21.0,19.0,5.0
Spal,-30.0,23.0,53.0,4.0,20,19.0,21.0,5.0
