squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,28.0,48.0,20.0,6.0,1,54.0,1.0,16.0
Juventus,21.0,44.0,23.0,3.0,2,54.0,3.0,17.0
Lazio,33.0,53.0,20.0,5.0,3,53.0,2.0,16.0
Atalanta,30.0,61.0,31.0,6.0,4,42.0,5.0,12.0
Roma,12.0,42.0,30.0,6.0,5,39.0,6.0,11.0
Verona,4.0,28.0,24.0,7.0,6,34.0,7.0,9.0
Bologna,1.0,37.0,36.0,6.0,7,33.0,8.0,9.0
Cagliari,3.0,38.0,35.0,8.0,8,32.0,7.0,8.0
Parma,1.0,31.0,30.0,5.0,9,32.0,9.0,9.0
Milan,-6.0,25.0,31.0,5.0,10,32.0,9.0,9.0
Napoli,2.0,36.0,34.0,6.0,11,30.0,9.0,8.0
Sassuolo,0.0,38.0,38.0,5.0,12,29.0,10.0,8.0
Torino,-15.0,27.0,42.0,3.0,13,27.0,12.0,8.0
Fiorentina,-8.0,26.0,34.0,7.0,14,25.0,10.0,6.0
Udinese,-16.0,20.0,36.0,4.0,15,25.0,12.0,7.0
Sampdoria,-13.0,25.0,38.0,5.0,16,23.0,12.0,6.0
Lecce,-14.0,30.0,44.0,7.0,17,22.0,11.0,5.0
Genoa,-19.0,24.0,43.0,7.0,18,19.0,12.0,4.0
Brescia,-21.0,21.0,42.0,4.0,19,16.0,15.0,4.0
Spal,-23.0,17.0,40.0,3.0,20,15.0,16.0,4.0
