,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Juventus,37.0,75.0,38.0,5.0,1,83.0,5.0,26.0
Inter,41.0,77.0,36.0,10.0,2,76.0,4.0,22.0
Atalanta,51.0,96.0,45.0,9.0,3,75.0,5.0,22.0
Lazio,37.0,76.0,39.0,6.0,4,75.0,7.0,23.0
Roma,23.0,71.0,48.0,7.0,5,64.0,10.0,19.0
Milan,11.0,56.0,45.0,9.0,6,60.0,10.0,17.0
Napoli,10.0,56.0,46.0,9.0,7,57.0,11.0,16.0
Sassuolo,3.0,63.0,60.0,10.0,8,49.0,13.0,13.0
Parma,-1.0,51.0,52.0,7.0,9,46.0,16.0,13.0
Verona,-4.0,44.0,48.0,13.0,10,46.0,12.0,11.0
Bologna,-9.0,51.0,60.0,10.0,11,46.0,14.0,12.0
Fiorentina,-3.0,44.0,47.0,13.0,12,43.0,13.0,10.0
Cagliari,-3.0,50.0,53.0,12.0,13,42.0,14.0,10.0
Udinese,-14.0,35.0,49.0,9.0,14,42.0,16.0,11.0
Sampdoria,-14.0,46.0,60.0,5.0,15,41.0,19.0,12.0
Torino,-21.0,43.0,64.0,6.0,16,39.0,19.0,11.0
Genoa,-24.0,44.0,68.0,9.0,17,36.0,18.0,9.0
Lecce,-33.0,47.0,80.0,8.0,18,32.0,20.0,8.0
Brescia,-42.0,34.0,76.0,6.0,19,24.0,24.0,6.0
Spal,-45.0,26.0,71.0,5.0,20,20.0,26.0,5.0
