,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Juventus,8.0,16.0,8.0,2.0,1,23.0,0.0,7.0
Inter,11.0,20.0,9.0,1.0,2,22.0,1.0,7.0
Atalanta,14.0,28.0,14.0,2.0,3,20.0,1.0,6.0
Napoli,7.0,18.0,11.0,2.0,4,17.0,2.0,5.0
Roma,3.0,14.0,11.0,4.0,5,16.0,1.0,4.0
Lazio,8.0,18.0,10.0,3.0,6,15.0,2.0,4.0
Cagliari,5.0,13.0,8.0,3.0,7,15.0,2.0,4.0
Parma,2.0,15.0,13.0,1.0,8,13.0,4.0,4.0
Sassuolo,1.0,17.0,16.0,0.0,9,12.0,5.0,4.0
Fiorentina,1.0,13.0,12.0,3.0,10,12.0,3.0,3.0
Bologna,0.0,12.0,12.0,3.0,11,12.0,3.0,3.0
Torino,-1.0,11.0,12.0,2.0,12,11.0,4.0,3.0
Milan,-4.0,9.0,13.0,1.0,13,10.0,5.0,3.0
Udinese,-8.0,5.0,13.0,1.0,14,10.0,5.0,3.0
Verona,-2.0,6.0,8.0,3.0,15,9.0,4.0,2.0
Lecce,-8.0,10.0,18.0,2.0,16,8.0,5.0,2.0
Genoa,-9.0,12.0,21.0,2.0,17,8.0,5.0,2.0
Brescia,-6.0,8.0,14.0,1.0,18,7.0,6.0,2.0
Spal,-9.0,7.0,16.0,1.0,19,7.0,6.0,2.0
Sampdoria,-13.0,5.0,18.0,1.0,20,4.0,7.0,1.0
