,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,18.0,32.0,14.0,3.0,1,39.0,1.0,12.0
Juventus,13.0,29.0,16.0,3.0,2,39.0,1.0,12.0
Lazio,22.0,38.0,16.0,3.0,3,36.0,2.0,11.0
Roma,13.0,29.0,16.0,5.0,4,32.0,2.0,9.0
Cagliari,11.0,32.0,21.0,5.0,5,29.0,3.0,8.0
Atalanta,13.0,38.0,25.0,4.0,6,28.0,4.0,8.0
Parma,4.0,23.0,19.0,3.0,7,24.0,6.0,7.0
Napoli,4.0,25.0,21.0,6.0,8,21.0,5.0,5.0
Torino,-3.0,21.0,24.0,3.0,9,21.0,7.0,6.0
Milan,-3.0,16.0,19.0,3.0,10,21.0,7.0,6.0
Sassuolo,1.0,28.0,27.0,4.0,11,19.0,7.0,5.0
Bologna,-3.0,24.0,27.0,4.0,12,19.0,7.0,5.0
Verona,-3.0,17.0,20.0,4.0,13,19.0,7.0,5.0
Fiorentina,-4.0,20.0,24.0,5.0,14,17.0,7.0,4.0
Lecce,-12.0,20.0,32.0,6.0,15,15.0,7.0,3.0
Sampdoria,-12.0,13.0,25.0,3.0,16,15.0,9.0,4.0
Udinese,-16.0,11.0,27.0,3.0,17,15.0,9.0,4.0
Brescia,-14.0,14.0,28.0,1.0,18,13.0,11.0,4.0
Genoa,-14.0,17.0,31.0,5.0,19,11.0,9.0,2.0
Spal,-15.0,10.0,25.0,3.0,20,9.0,11.0,2.0
