,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,22.0,36.0,14.0,3.0,1,42.0,1.0,13.0
Juventus,14.0,31.0,17.0,3.0,2,42.0,1.0,13.0
Lazio,22.0,38.0,16.0,4.0,3,37.0,2.0,11.0
Roma,16.0,33.0,17.0,5.0,4,35.0,2.0,10.0
Atalanta,18.0,43.0,25.0,4.0,5,31.0,4.0,9.0
Cagliari,10.0,33.0,23.0,5.0,6,29.0,4.0,8.0
Parma,4.0,24.0,20.0,4.0,7,25.0,6.0,7.0
Napoli,5.0,27.0,22.0,6.0,8,24.0,5.0,6.0
Bologna,-2.0,27.0,29.0,4.0,9,22.0,7.0,6.0
Torino,-4.0,22.0,26.0,3.0,10,21.0,8.0,6.0
Milan,-8.0,16.0,24.0,3.0,11,21.0,8.0,6.0
Verona,-3.0,17.0,20.0,5.0,12,20.0,7.0,5.0
Sassuolo,0.0,29.0,29.0,4.0,13,19.0,8.0,5.0
Udinese,-15.0,13.0,28.0,3.0,14,18.0,9.0,5.0
Fiorentina,-7.0,21.0,28.0,5.0,15,17.0,8.0,4.0
Lecce,-13.0,22.0,35.0,6.0,16,15.0,8.0,3.0
Sampdoria,-13.0,14.0,27.0,3.0,17,15.0,10.0,4.0
Brescia,-14.0,15.0,29.0,2.0,18,14.0,11.0,4.0
Spal,-14.0,12.0,26.0,3.0,19,12.0,11.0,3.0
Genoa,-18.0,17.0,35.0,5.0,20,11.0,10.0,2.0
