,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Juventus,7.0,13.0,6.0,1.0,1,19.0,0.0,6.0
Inter,10.0,14.0,4.0,0.0,2,18.0,1.0,6.0
Atalanta,8.0,18.0,10.0,1.0,3,16.0,1.0,5.0
Napoli,5.0,15.0,10.0,1.0,4,13.0,2.0,4.0
Roma,2.0,12.0,10.0,3.0,5,12.0,1.0,3.0
Lazio,7.0,13.0,6.0,2.0,6,11.0,2.0,3.0
Cagliari,3.0,10.0,7.0,2.0,7,11.0,2.0,3.0
Fiorentina,2.0,12.0,10.0,2.0,8,11.0,2.0,3.0
Torino,0.0,10.0,10.0,1.0,9,10.0,3.0,3.0
Sassuolo,1.0,13.0,12.0,0.0,10,9.0,4.0,3.0
Verona,1.0,6.0,5.0,3.0,11,9.0,2.0,2.0
Bologna,0.0,9.0,9.0,3.0,12,9.0,2.0,2.0
Parma,-2.0,8.0,10.0,0.0,13,9.0,4.0,3.0
Milan,-3.0,6.0,9.0,0.0,14,9.0,4.0,3.0
Udinese,-3.0,3.0,6.0,1.0,15,7.0,4.0,2.0
Brescia,-4.0,7.0,11.0,0.0,16,6.0,5.0,2.0
Spal,-7.0,6.0,13.0,0.0,17,6.0,5.0,2.0
Lecce,-8.0,7.0,15.0,0.0,18,6.0,5.0,2.0
Genoa,-7.0,8.0,15.0,2.0,19,5.0,4.0,1.0
Sampdoria,-12.0,4.0,16.0,0.0,20,3.0,6.0,1.0
