squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,8.0,9.0,1.0,0.0,1,12.0,0.0,4.0
Juventus,3.0,7.0,4.0,1.0,2,10.0,0.0,3.0
Napoli,5.0,13.0,8.0,0.0,3,9.0,1.0,3.0
Roma,3.0,10.0,7.0,2.0,4,8.0,0.0,2.0
Lazio,4.0,7.0,3.0,1.0,5,7.0,1.0,2.0
Atalanta,1.0,9.0,8.0,1.0,6,7.0,1.0,2.0
Bologna,1.0,7.0,6.0,1.0,7,7.0,1.0,2.0
Sassuolo,3.0,10.0,7.0,0.0,8,6.0,2.0,2.0
Cagliari,2.0,7.0,5.0,0.0,9,6.0,2.0,2.0
Torino,0.0,6.0,6.0,0.0,10,6.0,2.0,2.0
Brescia,0.0,5.0,5.0,0.0,11,6.0,2.0,2.0
Milan,-1.0,2.0,3.0,0.0,12,6.0,2.0,2.0
Verona,-1.0,3.0,4.0,1.0,13,4.0,2.0,1.0
Genoa,-2.0,7.0,9.0,1.0,14,4.0,2.0,1.0
Parma,-3.0,4.0,7.0,0.0,15,3.0,3.0,1.0
Udinese,-3.0,2.0,5.0,0.0,16,3.0,3.0,1.0
Spal,-4.0,4.0,8.0,0.0,17,3.0,3.0,1.0
Lecce,-7.0,3.0,10.0,0.0,18,3.0,3.0,1.0
Sampdoria,-7.0,2.0,9.0,0.0,19,3.0,3.0,1.0
Fiorentina,-2.0,6.0,8.0,2.0,20,2.0,2.0,0.0
