squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Juventus,24.0,48.0,24.0,3.0,1,60.0,3.0,19.0
Lazio,35.0,58.0,23.0,5.0,2,59.0,2.0,18.0
Inter,28.0,51.0,23.0,6.0,3,57.0,2.0,17.0
Atalanta,34.0,67.0,33.0,6.0,4,48.0,5.0,14.0
Roma,15.0,47.0,32.0,6.0,5,42.0,7.0,12.0
Verona,5.0,30.0,25.0,8.0,6,38.0,7.0,10.0
Napoli,4.0,39.0,35.0,6.0,7,36.0,9.0,10.0
Parma,2.0,33.0,31.0,6.0,8,36.0,9.0,10.0
Milan,-5.0,27.0,32.0,6.0,9,36.0,9.0,10.0
Bologna,-2.0,38.0,40.0,7.0,10,34.0,9.0,9.0
Cagliari,1.0,39.0,38.0,8.0,11,32.0,9.0,8.0
Sassuolo,-4.0,39.0,43.0,5.0,12,29.0,12.0,8.0
Fiorentina,-4.0,32.0,36.0,8.0,13,29.0,10.0,7.0
Torino,-16.0,28.0,44.0,4.0,14,28.0,13.0,8.0
Udinese,-16.0,21.0,37.0,6.0,15,27.0,12.0,7.0
Lecce,-17.0,32.0,49.0,7.0,16,25.0,12.0,6.0
Sampdoria,-18.0,27.0,45.0,5.0,17,23.0,14.0,6.0
Genoa,-17.0,29.0,46.0,7.0,18,22.0,13.0,5.0
Brescia,-24.0,22.0,46.0,4.0,19,16.0,17.0,4.0
Spal,-25.0,19.0,44.0,3.0,20,15.0,18.0,4.0
