,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Juventus,35.0,73.0,38.0,5.0,1,80.0,5.0,25.0
Atalanta,51.0,95.0,44.0,8.0,2,74.0,5.0,22.0
Inter,38.0,74.0,36.0,10.0,3,73.0,4.0,21.0
Lazio,33.0,71.0,38.0,6.0,4,72.0,7.0,22.0
Roma,22.0,69.0,47.0,7.0,5,61.0,10.0,18.0
Milan,11.0,55.0,44.0,8.0,6,59.0,10.0,17.0
Napoli,8.0,54.0,46.0,9.0,7,54.0,11.0,15.0
Sassuolo,5.0,63.0,58.0,10.0,8,49.0,12.0,13.0
Verona,0.0,43.0,43.0,13.0,9,46.0,11.0,11.0
Parma,-2.0,49.0,51.0,7.0,10,43.0,16.0,12.0
Fiorentina,-2.0,43.0,45.0,13.0,11,43.0,12.0,10.0
Bologna,-10.0,48.0,58.0,10.0,12,43.0,14.0,11.0
Cagliari,-2.0,50.0,52.0,12.0,13,42.0,13.0,10.0
Sampdoria,-12.0,46.0,58.0,5.0,14,41.0,18.0,12.0
Udinese,-15.0,34.0,49.0,9.0,15,39.0,16.0,10.0
Torino,-21.0,42.0,63.0,5.0,16,38.0,19.0,11.0
Genoa,-21.0,44.0,65.0,9.0,17,36.0,17.0,9.0
Lecce,-32.0,45.0,77.0,8.0,18,32.0,19.0,8.0
Brescia,-41.0,33.0,74.0,6.0,19,24.0,23.0,6.0
Spal,-45.0,25.0,70.0,4.0,20,19.0,26.0,5.0
