squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Juventus,35.0,70.0,35.0,5.0,1,77.0,4.0,24.0
Inter,38.0,72.0,34.0,8.0,2,71.0,4.0,21.0
Atalanta,50.0,93.0,43.0,7.0,3,70.0,5.0,21.0
Lazio,33.0,68.0,35.0,6.0,4,69.0,6.0,21.0
Roma,17.0,61.0,44.0,6.0,5,57.0,10.0,17.0
Napoli,9.0,53.0,44.0,8.0,6,53.0,10.0,15.0
Milan,6.0,48.0,42.0,8.0,7,53.0,10.0,15.0
Sassuolo,5.0,62.0,57.0,8.0,8,47.0,12.0,13.0
Verona,0.0,41.0,41.0,11.0,9,44.0,11.0,11.0
Bologna,-5.0,47.0,52.0,10.0,10,43.0,12.0,11.0
Cagliari,-1.0,48.0,49.0,11.0,11,41.0,12.0,10.0
Parma,-2.0,45.0,47.0,7.0,12,40.0,15.0,11.0
Fiorentina,-4.0,41.0,45.0,12.0,13,39.0,12.0,9.0
Sampdoria,-12.0,42.0,54.0,5.0,14,38.0,17.0,11.0
Torino,-19.0,41.0,60.0,4.0,15,37.0,18.0,11.0
Udinese,-15.0,31.0,46.0,9.0,16,36.0,15.0,9.0
Genoa,-23.0,40.0,63.0,9.0,17,30.0,17.0,7.0
Lecce,-33.0,41.0,74.0,8.0,18,29.0,18.0,7.0
Brescia,-40.0,30.0,70.0,6.0,19,21.0,22.0,5.0
Spal,-39.0,23.0,62.0,4.0,20,19.0,24.0,5.0
