,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,18.0,31.0,13.0,1.0,1,37.0,1.0,12.0
Juventus,13.0,25.0,12.0,3.0,2,36.0,0.0,11.0
Lazio,19.0,33.0,14.0,3.0,3,30.0,2.0,9.0
Cagliari,12.0,29.0,17.0,4.0,4,28.0,2.0,8.0
Roma,11.0,26.0,15.0,4.0,5,28.0,2.0,8.0
Atalanta,13.0,34.0,21.0,4.0,6,25.0,3.0,7.0
Napoli,5.0,23.0,18.0,5.0,7,20.0,4.0,5.0
Parma,2.0,20.0,18.0,3.0,8,18.0,6.0,5.0
Verona,-2.0,12.0,14.0,3.0,9,18.0,6.0,5.0
Sassuolo,1.0,26.0,25.0,2.0,10,17.0,7.0,5.0
Torino,-4.0,16.0,20.0,2.0,11,17.0,7.0,5.0
Milan,-4.0,13.0,17.0,2.0,12,17.0,7.0,5.0
Bologna,-3.0,20.0,23.0,4.0,13,16.0,6.0,4.0
Fiorentina,-3.0,18.0,21.0,4.0,14,16.0,6.0,4.0
Lecce,-9.0,18.0,27.0,5.0,15,14.0,6.0,3.0
Udinese,-14.0,9.0,23.0,2.0,16,14.0,8.0,4.0
Sampdoria,-12.0,12.0,24.0,3.0,17,12.0,8.0,3.0
Genoa,-13.0,15.0,28.0,4.0,18,10.0,8.0,2.0
Spal,-12.0,9.0,21.0,3.0,19,9.0,9.0,2.0
Brescia,-18.0,10.0,28.0,1.0,20,7.0,11.0,2.0
