,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Juventus,35.0,65.0,30.0,3.0,1,75.0,4.0,24.0
Lazio,34.0,67.0,33.0,5.0,2,68.0,5.0,21.0
Atalanta,46.0,85.0,39.0,6.0,3,66.0,5.0,20.0
Inter,32.0,65.0,33.0,8.0,4,65.0,4.0,19.0
Roma,13.0,56.0,43.0,6.0,5,51.0,10.0,15.0
Napoli,8.0,48.0,40.0,7.0,6,49.0,10.0,14.0
Milan,4.0,43.0,39.0,7.0,7,49.0,10.0,14.0
Sassuolo,5.0,56.0,51.0,8.0,8,44.0,11.0,12.0
Verona,1.0,39.0,38.0,10.0,9,43.0,10.0,11.0
Bologna,-5.0,44.0,49.0,8.0,10,41.0,12.0,11.0
Cagliari,2.0,48.0,46.0,10.0,11,40.0,11.0,10.0
Parma,0.0,42.0,42.0,6.0,12,39.0,14.0,11.0
Fiorentina,-6.0,37.0,43.0,11.0,13,35.0,12.0,8.0
Udinese,-13.0,30.0,43.0,8.0,14,35.0,14.0,9.0
Torino,-20.0,37.0,57.0,4.0,15,34.0,17.0,10.0
Sampdoria,-17.0,36.0,53.0,5.0,16,32.0,17.0,9.0
Lecce,-31.0,40.0,71.0,7.0,17,28.0,17.0,7.0
Genoa,-22.0,38.0,60.0,9.0,18,27.0,16.0,6.0
Brescia,-33.0,28.0,61.0,6.0,19,21.0,20.0,5.0
Spal,-33.0,23.0,56.0,4.0,20,19.0,22.0,5.0
