squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,18.0,31.0,13.0,2.0,1,38.0,1.0,12.0
Juventus,11.0,26.0,15.0,3.0,2,36.0,1.0,11.0
Lazio,21.0,36.0,15.0,3.0,3,33.0,2.0,10.0
Cagliari,12.0,31.0,19.0,5.0,4,29.0,2.0,8.0
Roma,11.0,26.0,15.0,5.0,5,29.0,2.0,8.0
Atalanta,14.0,37.0,23.0,4.0,6,28.0,3.0,8.0
Napoli,5.0,24.0,19.0,6.0,7,21.0,4.0,5.0
Parma,3.0,21.0,18.0,3.0,8,21.0,6.0,6.0
Torino,-3.0,18.0,21.0,2.0,9,20.0,7.0,6.0
Milan,-3.0,16.0,19.0,2.0,10,20.0,7.0,6.0
Sassuolo,1.0,28.0,27.0,3.0,11,18.0,7.0,5.0
Verona,-3.0,14.0,17.0,3.0,12,18.0,7.0,5.0
Bologna,-4.0,22.0,26.0,4.0,13,16.0,7.0,4.0
Fiorentina,-4.0,19.0,23.0,4.0,14,16.0,7.0,4.0
Lecce,-9.0,20.0,29.0,6.0,15,15.0,6.0,3.0
Udinese,-14.0,10.0,24.0,3.0,16,15.0,8.0,4.0
Sampdoria,-13.0,12.0,25.0,3.0,17,12.0,9.0,3.0
Genoa,-13.0,17.0,30.0,5.0,18,11.0,8.0,2.0
Brescia,-17.0,11.0,28.0,1.0,19,10.0,11.0,3.0
Spal,-13.0,9.0,22.0,3.0,20,9.0,10.0,2.0
