,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Juventus,22.0,43.0,21.0,3.0,1,54.0,2.0,17.0
Inter,26.0,44.0,18.0,6.0,2,51.0,1.0,15.0
Lazio,32.0,52.0,20.0,5.0,3,50.0,2.0,15.0
Atalanta,29.0,59.0,30.0,6.0,4,39.0,5.0,11.0
Roma,13.0,40.0,27.0,6.0,5,39.0,5.0,11.0
Cagliari,4.0,38.0,34.0,8.0,6,32.0,6.0,8.0
Parma,2.0,31.0,29.0,5.0,7,32.0,8.0,9.0
Milan,-4.0,23.0,27.0,5.0,8,32.0,8.0,9.0
Verona,3.0,26.0,23.0,7.0,9,31.0,7.0,8.0
Bologna,0.0,34.0,34.0,6.0,10,30.0,8.0,8.0
Napoli,2.0,32.0,30.0,7.0,11,28.0,8.0,7.0
Sassuolo,0.0,35.0,35.0,6.0,12,27.0,9.0,7.0
Torino,-13.0,26.0,39.0,3.0,13,27.0,11.0,8.0
Fiorentina,-7.0,25.0,32.0,7.0,14,25.0,9.0,6.0
Udinese,-16.0,19.0,35.0,3.0,15,24.0,12.0,7.0
Sampdoria,-15.0,22.0,37.0,5.0,16,20.0,12.0,5.0
Lecce,-15.0,27.0,42.0,7.0,17,19.0,11.0,4.0
Genoa,-20.0,23.0,43.0,7.0,18,16.0,12.0,3.0
Brescia,-21.0,20.0,41.0,3.0,19,15.0,15.0,4.0
Spal,-22.0,16.0,38.0,3.0,20,15.0,15.0,4.0
