,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,9.0,10.0,1.0,0.0,1,15.0,0.0,5.0
Juventus,4.0,9.0,5.0,1.0,2,13.0,0.0,4.0
Atalanta,3.0,11.0,8.0,1.0,3,10.0,1.0,3.0
Napoli,4.0,13.0,9.0,0.0,4,9.0,2.0,3.0
Cagliari,3.0,8.0,5.0,0.0,5,9.0,2.0,3.0
Torino,1.0,8.0,7.0,0.0,6,9.0,2.0,3.0
Roma,1.0,10.0,9.0,2.0,7,8.0,1.0,2.0
Bologna,1.0,7.0,6.0,2.0,8,8.0,1.0,2.0
Lazio,3.0,7.0,4.0,1.0,9,7.0,2.0,2.0
Sassuolo,2.0,10.0,8.0,0.0,10,6.0,3.0,2.0
Brescia,-1.0,6.0,7.0,0.0,11,6.0,3.0,2.0
Parma,-2.0,5.0,7.0,0.0,12,6.0,3.0,2.0
Milan,-2.0,3.0,5.0,0.0,13,6.0,3.0,2.0
Lecce,-5.0,6.0,11.0,0.0,14,6.0,3.0,2.0
Fiorentina,-1.0,8.0,9.0,2.0,15,5.0,2.0,1.0
Verona,-1.0,3.0,4.0,2.0,16,5.0,2.0,1.0
Genoa,-2.0,7.0,9.0,2.0,17,5.0,2.0,1.0
Udinese,-3.0,2.0,5.0,1.0,18,4.0,3.0,1.0
Spal,-6.0,5.0,11.0,0.0,19,3.0,4.0,1.0
Sampdoria,-8.0,3.0,11.0,0.0,20,3.0,4.0,1.0
