squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,5.0,6.0,1.0,0.0,1,6.0,0.0,2.0
Juventus,2.0,5.0,3.0,0.0,2,6.0,0.0,2.0
Torino,2.0,5.0,3.0,0.0,3,6.0,0.0,2.0
Lazio,3.0,4.0,1.0,1.0,4,4.0,0.0,1.0
Genoa,1.0,5.0,4.0,1.0,5,4.0,0.0,1.0
Bologna,1.0,2.0,1.0,1.0,6,4.0,0.0,1.0
Verona,1.0,2.0,1.0,1.0,7,4.0,0.0,1.0
Sassuolo,2.0,5.0,3.0,0.0,8,3.0,1.0,1.0
Parma,1.0,3.0,2.0,0.0,9,3.0,1.0,1.0
Napoli,0.0,7.0,7.0,0.0,10,3.0,1.0,1.0
Atalanta,0.0,5.0,5.0,0.0,11,3.0,1.0,1.0
Brescia,0.0,1.0,1.0,0.0,12,3.0,1.0,1.0
Milan,0.0,1.0,1.0,0.0,13,3.0,1.0,1.0
Udinese,-1.0,2.0,3.0,0.0,14,3.0,1.0,1.0
Roma,0.0,4.0,4.0,2.0,15,2.0,0.0,0.0
Fiorentina,-2.0,4.0,6.0,0.0,16,0.0,2.0,0.0
Spal,-2.0,2.0,4.0,0.0,17,0.0,2.0,0.0
Cagliari,-2.0,1.0,3.0,0.0,18,0.0,2.0,0.0
Lecce,-5.0,0.0,5.0,0.0,19,0.0,2.0,0.0
Sampdoria,-6.0,1.0,7.0,0.0,20,0.0,2.0,0.0
