,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Juventus,23.0,46.0,23.0,3.0,1,57.0,3.0,18.0
Lazio,34.0,55.0,21.0,5.0,2,56.0,2.0,17.0
Inter,27.0,49.0,22.0,6.0,3,54.0,2.0,16.0
Atalanta,31.0,63.0,32.0,6.0,4,45.0,5.0,13.0
Roma,11.0,43.0,32.0,6.0,5,39.0,7.0,11.0
Verona,4.0,28.0,24.0,8.0,6,35.0,7.0,9.0
Parma,2.0,32.0,30.0,5.0,7,35.0,9.0,10.0
Milan,-5.0,26.0,31.0,5.0,8,35.0,9.0,10.0
Bologna,-2.0,37.0,39.0,6.0,9,33.0,9.0,9.0
Cagliari,2.0,38.0,36.0,8.0,10,32.0,8.0,8.0
Napoli,2.0,35.0,33.0,7.0,11,31.0,9.0,8.0
Sassuolo,0.0,37.0,37.0,6.0,12,30.0,10.0,8.0
Fiorentina,-4.0,31.0,35.0,7.0,13,28.0,10.0,7.0
Torino,-16.0,27.0,43.0,3.0,14,27.0,13.0,8.0
Udinese,-16.0,20.0,36.0,5.0,15,26.0,12.0,7.0
Lecce,-13.0,32.0,45.0,7.0,16,25.0,11.0,6.0
Sampdoria,-17.0,26.0,43.0,5.0,17,23.0,13.0,6.0
Genoa,-16.0,27.0,43.0,7.0,18,22.0,12.0,5.0
Brescia,-23.0,21.0,44.0,4.0,19,16.0,16.0,4.0
Spal,-24.0,18.0,42.0,3.0,20,15.0,17.0,4.0
