,Squadra,Risultato
0,Frosinone,V
1,Monza,V
2,Verona,V
3,Milan,V
4,Fiorentina,N
5,Juventus,N
6,Lazio,P
7,Napoli,V
8,Salernitana,N
9,Cagliari,P
10,Atalanta,P
11,Empoli,P
12,Roma,P
13,Torino,P
14,Lecce,N
15,Bologna,N
16,Genoa,V
17,Sassuolo,P
18,Udinese,N
19,Inter,V
