,Squadra,Risultato
0,Juventus,V
1,Verona,N
2,Atalanta,V
3,Inter,V
4,Frosinone,N
5,Monza,V
6,Salernitana,P
7,Roma,N
8,Empoli,N
9,Cagliari,V
10,Napoli,P
11,Lazio,N
12,Milan,P
13,Udinese,P
14,Torino,N
15,Genoa,P
16,Bologna,V
17,Fiorentina,N
18,Lecce,N
19,Sassuolo,P
