,Squadra,Risultato
0,Lecce,P
1,Milan,V
2,Salernitana,P
3,Bologna,V
4,Udinese,N
5,Atalanta,N
6,Roma,V
7,Sassuolo,P
8,Torino,N
9,Fiorentina,V
10,Napoli,V
11,Lazio,P
12,Inter,V
13,Empoli,P
14,Genoa,N
15,Juventus,N
16,Frosinone,P
17,Monza,V
18,Verona,N
19,Cagliari,P
