,Squadra,Risultato
0,Juventus,V
1,Cagliari,P
2,Empoli,V
3,Verona,P
4,Inter,P
5,Lazio,V
6,Napoli,V
7,Frosinone,N
8,Monza,N
9,Genoa,V
10,Lecce,P
11,Milan,V
12,Salernitana,P
13,Atalanta,V
14,Sassuolo,V
15,Torino,P
16,Udinese,P
17,Fiorentina,N
18,Bologna,N
19,Roma,P
