,Squadra,Risultato
0,Sassuolo,V
1,Roma,P
2,Bologna,V
3,Udinese,N
4,Atalanta,V
5,Napoli,P
6,Inter,V
7,Torino,V
8,Empoli,P
9,Lecce,V
10,Verona,P
11,Milan,V
12,Cagliari,P
13,Frosinone,N
14,Monza,P
15,Lazio,V
16,Fiorentina,P
17,Genoa,P
18,Juventus,V
19,Salernitana,P
