,Squadra,Risultato
0,Sassuolo,N
1,Genoa,V
2,Lecce,N
3,Juventus,V
4,Monza,N
5,Napoli,P
6,Fiorentina,V
7,Udinese,N
8,Lazio,N
9,Inter,V
10,Salernitana,N
11,Verona,P
12,Milan,N
13,Cagliari,P
14,Torino,N
15,Empoli,V
16,Bologna,P
17,Atalanta,N
18,Roma,N
19,Frosinone,P
