,Squadra,Risultato
0,Salernitana,V
1,Atalanta,P
2,Milan,V
3,Cagliari,N
4,Empoli,P
5,Frosinone,V
6,Roma,V
7,Juventus,N
8,Verona,N
9,Bologna,V
10,Lazio,P
11,Napoli,V
12,Fiorentina,P
13,Monza,N
14,Sassuolo,V
15,Genoa,P
16,Udinese,P
17,Inter,N
18,Lecce,N
19,Torino,P
