Partita,0,1,2,3,4
Torino-Lecce,0.5297076752327629,0.3526530021018538,0.0945845696231497,0.017403911394259272,0.005650841647974399
Inter-Salernitana,0.7618758850014524,0.15118602986613006,0.06689120949386584,0.011968447869316905,0.008078427769234543
Napoli-Genoa,0.3782334985008334,0.4189463627821565,0.16934963151164126,0.026750883906733792,0.00671962329863518
Verona-Juventus,0.2117837562039433,0.3824576615565394,0.36860536579466785,0.02701067432348196,0.01014254212136746
Atalanta-Sassuolo,0.5439747152165961,0.2668761119538746,0.12500193248278496,0.03603665821032523,0.0281105821364191
Lazio-Bologna,0.4163486428796902,0.36043699280333064,0.17972193011870155,0.03546691317044228,0.008025521027835221
Empoli-Fiorentina,0.4508044629809782,0.16006421439346233,0.22233438664288582,0.0914041552987987,0.07539278068387502
Udinese-Cagliari,0.4412646980238392,0.34190038968507197,0.16623239346867466,0.04210660317029325,0.00849591565212087
Frosinone-Roma,0.19600894714927353,0.20964342683096723,0.2283208957602097,0.14069284724248965,0.2253338830170599
Monza-Milan,0.27182317425578656,0.2643412844062474,0.29732694379083974,0.1476363043673062,0.018872293179820112
