,Squadra,Risultato
0,Benevento,N
1,Roma,V
2,Milan,P
3,Udinese,N
4,Fiorentina,V
5,Juventus,V
6,Genoa,V
7,Verona,V
8,Lazio,V
9,Parma,P
10,Torino,N
11,Spezia,P
12,Atalanta,V
13,Inter,N
14,Crotone,P
15,Bologna,P
16,Cagliari,P
17,Napoli,P
18,Sassuolo,P
19,Sampdoria,V
