,Squadra,Risultato
0,Milan,N
1,Napoli,V
2,Genoa,N
3,Benevento,N
4,Sassuolo,N
5,Lazio,V
6,Atalanta,V
7,Cagliari,P
8,Torino,N
9,Bologna,P
10,Sampdoria,N
11,Crotone,P
12,Fiorentina,N
13,Parma,N
14,Roma,N
15,Spezia,P
16,Udinese,P
17,Verona,V
18,Juventus,N
19,Inter,V
