,Squadra,Risultato
0,Fiorentina,P
1,Sassuolo,V
2,Udinese,P
3,Atalanta,V
4,Benevento,V
5,Lazio,N
6,Parma,V
7,Milan,V
8,Genoa,P
9,Juventus,V
10,Sampdoria,V
11,Crotone,P
12,Roma,V
13,Cagliari,P
14,Bologna,P
15,Inter,N
16,Verona,P
17,Spezia,P
18,Torino,V
19,Napoli,P
