,Squadra,Risultato
0,Crotone,P
1,Inter,N
2,Bologna,V
3,Udinese,P
4,Spezia,P
5,Torino,P
6,Napoli,P
7,Roma,V
8,Sampdoria,N
9,Verona,V
10,Atalanta,V
11,Parma,N
12,Cagliari,P
13,Milan,V
14,Juventus,V
15,Lazio,V
16,Sassuolo,V
17,Fiorentina,P
18,Genoa,N
19,Benevento,P
