,Squadra,Risultato
0,Fiorentina,P
1,Sassuolo,P
2,Atalanta,N
3,Juventus,V
4,Genoa,V
5,Benevento,N
6,Milan,V
7,Udinese,V
8,Parma,P
9,Lazio,V
10,Inter,V
11,Spezia,V
12,Torino,N
13,Roma,P
14,Napoli,P
15,Sampdoria,N
16,Crotone,P
17,Verona,P
18,Bologna,V
19,Cagliari,P
