,Squadra,Risultato
0,Napoli,V
1,Cagliari,N
2,Atalanta,V
3,Bologna,P
4,Sassuolo,P
5,Torino,P
6,Lazio,V
7,Inter,V
8,Sampdoria,N
9,Crotone,V
10,Udinese,P
11,Fiorentina,N
12,Benevento,P
13,Genoa,V
14,Juventus,V
15,Milan,V
16,Parma,P
17,Roma,P
18,Spezia,N
19,Verona,P
