,Squadra,Risultato
0,Lazio,V
1,Atalanta,V
2,Sassuolo,V
3,Benevento,P
4,Genoa,N
5,Bologna,V
6,Torino,P
7,Parma,V
8,Cagliari,P
9,Milan,P
10,Crotone,P
11,Spezia,P
12,Verona,P
13,Fiorentina,V
14,Udinese,N
15,Sampdoria,P
16,Inter,V
17,Roma,P
18,Juventus,V
19,Napoli,V
