,Squadra,Risultato
0,Udinese,N
1,Spezia,P
2,Inter,V
3,Fiorentina,V
4,Genoa,P
5,Parma,P
6,Benevento,P
7,Verona,N
8,Roma,V
9,Juventus,P
10,Bologna,N
11,Napoli,V
12,Sampdoria,P
13,Lazio,P
14,Sassuolo,V
15,Atalanta,V
16,Cagliari,V
17,Torino,N
18,Crotone,P
19,Milan,V
