,Squadra,Risultato
0,Spezia,P
1,Juventus,V
2,Inter,V
3,Verona,N
4,Parma,N
5,Roma,N
6,Crotone,P
7,Sampdoria,P
8,Fiorentina,N
9,Udinese,N
10,Lazio,V
11,Torino,P
12,Bologna,P
13,Cagliari,N
14,Benevento,N
15,Sassuolo,N
16,Napoli,V
17,Milan,V
18,Genoa,N
19,Atalanta,N
