,Squadra,Risultato
0,Torino,P
1,Cagliari,P
2,Sampdoria,P
3,Inter,V
4,Spezia,P
5,Verona,V
6,Crotone,P
7,Napoli,V
8,Roma,N
9,Bologna,V
10,Atalanta,V
11,Lazio,V
12,Benevento,V
13,Fiorentina,P
14,Sassuolo,V
15,Udinese,P
16,Milan,V
17,Genoa,P
18,Juventus,N
19,Parma,P
