,Squadra,Risultato
0,Genoa,P
1,Spezia,V
2,Juventus,V
3,Roma,V
4,Fiorentina,P
5,Benevento,N
6,Udinese,P
7,Parma,P
8,Milan,N
9,Verona,N
10,Atalanta,V
11,Torino,P
12,Inter,P
13,Lazio,P
14,Napoli,V
15,Crotone,N
16,Sampdoria,V
17,Sassuolo,V
18,Cagliari,N
19,Bologna,N
