,Squadra,Risultato
0,Verona,N
1,Crotone,P
2,Milan,V
3,Lazio,V
4,Sassuolo,N
5,Napoli,N
6,Bologna,N
7,Udinese,P
8,Sampdoria,V
9,Torino,V
10,Spezia,N
11,Inter,V
12,Benevento,P
13,Genoa,P
14,Atalanta,N
15,Cagliari,N
16,Fiorentina,N
17,Juventus,V
18,Roma,P
19,Parma,P
