Partita,O,U
Bologna-Verona,0.1968465913382419,0.8031534086617581
Sassuolo-Empoli,0.5851130585479637,0.4148869414520363
Salernitana-Monza,0.4523056400084098,0.5476943599915902
Genoa-Udinese,0.3922120722318583,0.6077879277681417
Juventus-Frosinone,0.3807093243079811,0.6192906756920189
Cagliari-Napoli,0.5255996523119304,0.4744003476880696
Lecce-Inter,0.53353332829459,0.46646667170541
Milan-Atalanta,0.5403498579660064,0.45965014203399357
Roma-Torino,0.20633020741631147,0.7936697925836885
Fiorentina-Lazio,0.3142160029090949,0.6857839970909051
