Partita,GG,NG
Bologna-Verona,0.5118483412322274,0.4881516587677725
Sassuolo-Empoli,0.5545023696682464,0.44549763033175355
Salernitana-Monza,0.6018957345971564,0.3981042654028436
Genoa-Udinese,0.5971563981042654,0.4028436018957346
Juventus-Frosinone,0.46445497630331756,0.5355450236966824
Cagliari-Napoli,0.6255924170616114,0.3744075829383886
Lecce-Inter,0.6255924170616114,0.3744075829383886
Milan-Atalanta,0.5497630331753555,0.45023696682464454
Roma-Torino,0.5023696682464455,0.4976303317535545
Fiorentina-Lazio,0.5260663507109005,0.47393364928909953
