Partita,O,U
Juventus-Napoli,0.32999487051449794,0.6700051294855021
Verona-Lazio,0.22720092154344318,0.7727990784565568
Atalanta-Milan,0.3317160792138637,0.6682839207861363
Inter-Udinese,0.6011298526877609,0.39887014731223913
Frosinone-Torino,0.14121621670579,0.85878378329421
Monza-Genoa,0.3407465218589646,0.6592534781410354
Salernitana-Bologna,0.17094025936172297,0.829059740638277
Roma-Fiorentina,0.40043435689124474,0.5995656431087553
Empoli-Lecce,0.4820195866262931,0.5179804133737069
Cagliari-Sassuolo,0.45970816715676,0.54029183284324
