Partita,GG,NG
Juventus-Napoli,0.23757738649706772,0.7624226135029323
Verona-Lazio,0.3795031112035767,0.6204968887964233
Atalanta-Milan,0.4549922759728029,0.5450077240271971
Inter-Udinese,0.15783083605354642,0.8421691639464536
Frosinone-Torino,0.4204238778953502,0.5795761221046498
Monza-Genoa,0.24675323071461486,0.7532467692853851
Salernitana-Bologna,0.26742008865681466,0.7325799113431853
Roma-Fiorentina,0.4616213321667143,0.5383786678332857
Empoli-Lecce,0.21924915473010242,0.7807508452698976
Cagliari-Sassuolo,0.6571398003671318,0.3428601996328682
