,0,1,2
0,Cremonese,Lecce,0 - 2
1,Roma,Empoli,2 - 0
2,Sassuolo,Atalanta,1 - 0
3,Spezia,Napoli,0 - 3
4,Torino,Udinese,1 - 0
5,Fiorentina,Bologna,1 - 2
6,Inter,Milan,1 - 0
7,Verona,Lazio,1 - 1
8,Monza,Sampdoria,2 - 2
9,Salernitana,Juventus,0 - 3
