,0,1,2
0,Cremonese,Empoli,1 - 0
1,Spezia,Lazio,0 - 3
2,Bologna,Milan,1 - 1
3,Napoli,Verona,0 - 0
4,Inter,Monza,0 - 1
5,Lecce,Sampdoria,1 - 1
6,Torino,Salernitana,1 - 1
7,Sassuolo,Juventus,1 - 0
8,Roma,Udinese,3 - 0
9,Fiorentina,Atalanta,1 - 1
