,0,1,2
0,Verona,Bologna,2 - 1
1,Salernitana,Sassuolo,3 - 0
2,Lazio,Torino,0 - 1
3,Sampdoria,Spezia,1 - 1
4,Empoli,Inter,0 - 3
5,Udinese,Cremonese,3 - 0
6,Monza,Fiorentina,3 - 2
7,Milan,Lecce,2 - 0
8,Juventus,Napoli,0 - 1
9,Atalanta,Roma,3 - 1
