,0,1,2
0,Sassuolo,Monza,1 - 2
1,Cremonese,Bologna,1 - 5
2,Atalanta,Verona,3 - 1
3,Milan,Sampdoria,5 - 1
4,Lecce,Spezia,0 - 0
5,Torino,Fiorentina,1 - 1
6,Napoli,Inter,3 - 1
7,Udinese,Lazio,0 - 1
8,Roma,Salernitana,2 - 2
9,Empoli,Juventus,4 - 1
