,0,1,2
0,Napoli,Lazio,0 - 1
1,Monza,Empoli,2 - 1
2,Atalanta,Udinese,0 - 0
3,Fiorentina,Milan,2 - 1
4,Spezia,Verona,0 - 0
5,Sampdoria,Salernitana,0 - 0
6,Inter,Lecce,2 - 0
7,Roma,Juventus,1 - 0
8,Sassuolo,Cremonese,3 - 2
9,Torino,Bologna,1 - 0
