,0,1,2
0,Bologna,Spezia,2 - 0
1,Lecce,Salernitana,1 - 2
2,Empoli,Torino,2 - 2
3,Cremonese,Inter,1 - 2
4,Atalanta,Sampdoria,2 - 0
5,Milan,Sassuolo,2 - 5
6,Juventus,Monza,0 - 2
7,Lazio,Fiorentina,1 - 1
8,Napoli,Roma,2 - 1
9,Udinese,Verona,1 - 1
