,0,1,2
0,Juventus,Empoli,4 - 0
1,Salernitana,Spezia,1 - 0
2,Milan,Monza,4 - 1
3,Fiorentina,Inter,3 - 4
4,Udinese,Torino,1 - 2
5,Bologna,Lecce,2 - 0
6,Atalanta,Lazio,0 - 2
7,Roma,Napoli,0 - 1
8,Cremonese,Sampdoria,0 - 1
9,Sassuolo,Verona,2 - 1
