,0,1,2
0,Sassuolo,Spezia,1 - 0
1,Atalanta,Empoli,2 - 1
2,Monza,Cremonese,1 - 1
3,Salernitana,Bologna,2 - 2
4,Udinese,Milan,3 - 1
5,Sampdoria,Verona,3 - 1
6,Fiorentina,Lecce,1 - 0
7,Torino,Napoli,0 - 4
8,Lazio,Roma,1 - 0
9,Inter,Juventus,0 - 1
