,0,1,2
0,Monza,Udinese,1 - 2
1,Lazio,Inter,3 - 1
2,Cremonese,Torino,1 - 2
3,Juventus,Roma,1 - 1
4,Milan,Bologna,2 - 0
5,Spezia,Sassuolo,2 - 2
6,Verona,Atalanta,0 - 1
7,Salernitana,Sampdoria,4 - 0
8,Fiorentina,Napoli,0 - 0
9,Lecce,Empoli,1 - 1
