,Squadra,Risultato
0,Juventus,V
1,Sampdoria,P
2,Sassuolo,P
3,Napoli,V
4,Lazio,V
5,Lecce,P
6,Udinese,V
7,Cagliari,N
8,Milan,P
9,Parma,V
10,Spal,P
11,Inter,V
12,Atalanta,V
13,Brescia,P
14,Genoa,P
15,Roma,V
16,Bologna,P
17,Verona,N
18,Fiorentina,V
19,Torino,P
