,Squadra,Risultato
0,Bologna,V
1,Cagliari,N
2,Sassuolo,V
3,Juventus,V
4,Atalanta,N
5,Milan,N
6,Lazio,V
7,Lecce,V
8,Udinese,P
9,Sampdoria,P
10,Brescia,P
11,Parma,N
12,Roma,P
13,Fiorentina,P
14,Genoa,N
15,Verona,N
16,Spal,P
17,Torino,P
18,Inter,V
19,Napoli,V
